time,num,delay
1756986943383757,100,42491
1756986943427412,99,43277
1756986943470429,98,42819
1756986943516494,97,45289
1756986943559411,96,42725
1756986943602413,95,42826
1756986943646472,94,43771
1756986943688418,93,41768
1756986943731420,92,42801
1756986943775418,91,43825
1756986943817363,90,41755
1756986943861432,89,43852
1756986943905435,88,43821
1756986943947473,87,41859
1756986943990491,86,42836
1756986944034407,85,43717
1756986944077409,84,42813
1756986944121443,83,43865
1756986944164412,82,42766
1756986944207414,81,42821
1756986944249589,80,41986
1756986944292460,79,42659
1756986944334620,78,41970
1756986944377409,77,42609
1756986944421485,76,43899
1756986944464454,75,42779
1756986944506605,74,41934
1756986944549414,73,42617
1756986944592419,72,42721
1756986944634458,71,41843
1756986944676407,70,41767
1756986944719413,69,42829
1756986944762710,68,43105
1756986944805391,67,42509
1756986944847405,66,41835
1756986944889897,65,42317
1756986944933464,64,43006
1756986944977398,63,43750
1756986945021838,62,44245
1756986945066515,61,44494
1756986945109349,60,42652
1756986945151488,59,41993
1756986945193405,58,41728
1756986945237741,57,44157
1756986945280417,56,42488
1756986945322409,55,41818
1756986945365437,54,42838
1756986945410402,53,44779
1756986945454446,52,43858
1756986945497440,51,42811
1756986945540737,50,43105
1756986945585423,49,44506
1756986945628422,48,42803
1756986945671753,47,43053
1756986945716528,46,44358
1756986945764423,45,47718
1756986945806429,44,41811
1756986945848428,43,41810
1756986945892551,42,43934
1756986945934476,41,41746
1756986945977413,40,42754
1756986946020830,39,43247
1756986946065423,38,44332
1756986946108434,37,42841
1756986946151466,36,42838
1756986946194450,35,42808
1756986946236414,34,41769
1756986946279452,33,42860
1756986946321394,32,41769
1756986946364414,31,42856
1756986946407888,30,43287
1756986946451482,29,43418
1756986946493394,28,41736
1756986946535475,27,41906
1756986946580439,26,44744
1756986946622478,25,41810
1756986946665405,24,42747
1756986946708406,23,42795
1756986946750697,22,42120
1756986946793411,21,42386
1756986946836461,20,42835
1756986946878403,19,41775
1756986946922408,18,43829
1756986946965401,17,42816
1756986947008393,16,42817
1756986947050409,15,41840
1756986947092397,14,41756
1756986947134416,13,41855
1756986947177448,12,42854
1756986947220432,11,42812
1756986947262392,10,41788
1756986947304853,9,42288
1756986947347419,8,42397
1756986947389400,7,41816
1756986947432381,6,42805
1756986947475336,5,42779
1756986947517409,4,41922
1756986947559494,3,41888
1756986947603426,2,43754
1756986947646515,1,42924
