time,num,delay
1756986764125506,100,44290
1756986764172379,99,46553
1756986764214397,98,41842
1756986764256394,97,41787
1756986764298398,96,41832
1756986764341464,95,42860
1756986764383567,94,41929
1756986764427082,93,43343
1756986764469360,92,42165
1756986764511418,91,41946
1756986764557536,90,45941
1756986764600410,89,42637
1756986764643416,88,42830
1756986764688255,87,44679
1756986764729307,86,40999
1756986764771299,85,41883
1756986764813310,84,41898
1756986764855309,83,41891
1756986764900479,82,45007
1756986764943398,81,42744
1756986764989457,80,45883
1756986765032371,79,42713
1756986765074277,78,41735
1756986765116556,77,42182
1756986765161143,76,44362
1756986765202443,75,41014
1756986765245391,74,42698
1756986765289403,73,43831
1756986765332425,72,42847
1756986765375576,71,42982
1756986765421411,70,45660
1756986765464404,69,42820
1756986765507398,68,42805
1756986765549479,67,41889
1756986765591760,66,42111
1756986765634527,65,42579
1756986765679495,64,44773
1756986765721410,63,41746
1756986765763414,62,41835
1756986765805426,61,41838
1756986765847450,60,41859
1756986765890433,59,42812
1756986765933418,58,42819
1756986765975427,57,41828
1756986766017412,56,41821
1756986766059397,55,41817
1756986766102427,54,42853
1756986766145550,53,43017
1756986766188426,52,42686
1756986766231406,51,42799
1756986766274375,50,42763
1756986766316382,49,41837
1756986766359427,48,42850
1756986766403634,47,44032
1756986766485454,46,81554
1756986766567557,45,81892
1756986766649454,44,81695
1756986766731468,43,81795
1756986766813462,42,81777
1756986766895461,41,81815
1756986766977462,40,81799
1756986767059521,39,81857
1756986767141505,38,81792
1756986767223517,37,81808
1756986767306571,36,82570
1756986767388340,35,81595
1756986767477844,34,89383
1756986767560492,33,82174
1756986767642426,32,81731
1756986767724509,31,81891
1756986767806482,30,81774
1756986767888448,29,81764
1756986767970463,28,81841
1756986768052461,27,81778
1756986768134485,26,81776
1756986768216458,25,81738
1756986768298486,24,81830
1756986768381496,23,82790
1756986768463450,22,81734
1756986768545481,21,81826
1756986768627500,20,81812
1756986768709464,19,81738
1756986768791469,18,81825
1756986768873615,17,81937
1756986768955506,16,81686
1756986769037477,15,81769
1756986769119452,14,81689
1756986769201450,13,81574
1756986769283458,12,81785
1756986769365479,11,81819
1756986769447635,10,81965
1756986769529500,9,81663
1756986769611363,8,81680
1756986769693476,7,81936
1756986769775464,6,81783
1756986769857651,5,81999
1756986769939570,4,81686
1756986770021474,3,81672
1756986770103332,2,81662
1756986770185497,1,82044
