Nodes/Machines,1M,2M,4M,8M,16M,32M
1N,3.00,4.00,5.75,3.88,17.31,
2N,1.00,4.00,6.00,8.50,18.88,
4N,,6.50,19.50,12.62,22.00,
8N,,,10.75,26.00,26.12,43.41
16N,,,,26.00,33.62,58.94


{3.00,4.00,5.75,3.88,17.31},
{1.00,4.00,6.00,8.50,18.88,},
{,6.50,19.50,12.62,22.00,},
{,,10.75,26.00,26.12,43.41},
{,,,26.00,33.62,58.94},
